TransactionID ,ProductID ,ProductName,Year,Month,QuantitySold,SalesPrice,PromotionApplied
400001,SKU001,Laptop,2023,1,100,10000,Y
400002,SKU001,Laptop,2023,2,150,10500,N
400003,SKU001,Laptop,2023,3,117,10000,Y
400004,SKU001,Laptop,2023,4,130,10080,N
400005,SKU001,Laptop,2023,5,100,10000,N
400006,SKU001,Laptop,2023,6,120,10000,Y
400007,SKU001,Laptop,2023,7,100,10000,N
400008,SKU001,Laptop,2023,8,116,10000,N
400009,SKU001,Laptop,2023,9,145,10000,Y
400010,SKU001,Laptop,2023,10,150,10600,N
400011,SKU001,Laptop,2023,11,100,10000,Y
400012,SKU001,Laptop,2023,12,160,10000,N
400013,SKU001,Laptop,2024,1,114,10000,Y
400014,SKU001,Laptop,2024,2,100,10000,N
400015,SKU001,Laptop,2024,3,100,10000,N
400016,SKU001,Laptop,2024,4,134,10080,Y
400017,SKU001,Laptop,2024,5,100,10000,N
400018,SKU001,Laptop,2024,6,156,10000,N
400019,SKU001,Laptop,2024,7,100,10000,Y
400020,SKU001,Laptop,2024,8,134,10000,N
400021,SKU001,Laptop,2024,9,123,10000,Y
400022,SKU001,Laptop,2024,10,143,10000,N
400023,SKU001,Laptop,2024,11,123,10000,N
400024,SKU001,Laptop,2024,12,100,10000,Y
400025,SKU001,Laptop,2025,1,120,10000,N
400026,SKU001,Laptop,2025,2,138,10000,Y
400027,SKU001,Laptop,2025,3,116,10000,N
400028,SKU001,Laptop,2025,4,145,10000,N
400029,SKU001,Laptop,2025,5,158,10000,Y
400030,SKU001,Laptop,2025,6,100,10000,N
400031,SKU001,Laptop,2025,7,160,10000,Y
400032,SKU001,Laptop,2025,8,114,10000,N
400033,SKU001,Laptop,2025,9,158,10000,N
400034,SKU001,Laptop,2025,10,138,10000,N
400035,SKU001,Laptop,2025,11,134,10000,Y
400036,SKU001,Laptop,2025,12,125,10000,N
400201,SKU101,Keyboard,2023,1,30,90,Y
400202,SKU101,Keyboard,2023,2,24,100,N
400203,SKU101,Keyboard,2023,3,30,100,Y
400204,SKU101,Keyboard,2023,4,30,90,N
400205,SKU101,Keyboard,2023,5,30,90,N
400206,SKU101,Keyboard,2023,6,56,100,Y
400207,SKU101,Keyboard,2023,7,30,100,N
400208,SKU101,Keyboard,2023,8,10,100,N
400209,SKU101,Keyboard,2023,9,30,100,Y
400210,SKU101,Keyboard,2023,10,30,90,N
400211,SKU101,Keyboard,2023,11,40,100,Y
400212,SKU101,Keyboard,2023,12,30,100,N
400213,SKU101,Keyboard,2024,1,30,80,Y
400214,SKU101,Keyboard,2024,2,35,100,N
400215,SKU101,Keyboard,2024,3,30,99,N
400216,SKU101,Keyboard,2024,4,30,100,Y
400217,SKU101,Keyboard,2024,5, ,98,N
400218,SKU101,Keyboard,2024,6,23,90,N
400219,SKU101,Keyboard,2024,7,30,100,Y
400220,SKU101,Keyboard,2024,8,34,100,N
400221,SKU101,Keyboard,2024,9,30,90,Y
400222,SKU101,Keyboard,2024,10,45,90,N
400223,SKU101,Keyboard,2024,11,36,100,N
400224,SKU101,Keyboard,2024,12,37,100,Y
400225,SKU101,Keyboard,2025,1,30,100,N
400226,SKU101,Keyboard,2025,2,41,100,Y
400227,SKU101,Keyboard,2025,3,42,90,N
400228,SKU101,Keyboard,2025,4,30,100,N
400229,SKU101,Keyboard,2025,5,30,100,Y
400230,SKU101,Keyboard,2025,6,48,80,N
400231,SKU101,Keyboard,2025,7,30,100,Y
400232,SKU101,Keyboard,2025,8,27,99,N
400233,SKU101,Keyboard,2025,9,29,100,N
400234,SKU101,Keyboard,2025,10,36,98,N
400235,SKU101,Keyboard,2025,11,38,103,Y
400236,SKU101,Keyboard,2025,12,26,104,N
